Date : 2024-01-06 23:15:02
Directory : d:\Software\Python\Blog_Site
Total : 2492 files,  115434 codes, 15787 comments, 19065 blanks, all 150286 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |      2,107 |     53,028 |     14,406 |      9,969 |     77,403 |
| CSS              |        206 |     50,624 |      1,306 |      5,572 |     57,502 |
| Markdown         |         65 |      8,639 |          0 |      2,927 |     11,566 |
| HTML             |         46 |      1,552 |         53 |        345 |      1,950 |
| Python           |         16 |        609 |         22 |        160 |        791 |
| toml             |          2 |        434 |          0 |         46 |        480 |
| XML              |         45 |        331 |          0 |         41 |        372 |
| SQL              |          1 |        128 |          0 |          2 |        130 |
| pip requirements |          1 |         56 |          0 |          1 |         57 |
| JSON             |          3 |         33 |          0 |          2 |         35 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |      2,492 |    115,434 |     15,787 |     19,065 |    150,286 |
| . (Files)                                                                                                                               |          6 |        646 |          1 |         61 |        708 |
| Blog_Site                                                                                                                               |          5 |        104 |         17 |         50 |        171 |
| main                                                                                                                                    |         19 |        882 |         32 |        145 |      1,059 |
| main (Files)                                                                                                                            |          8 |        327 |          3 |         98 |        428 |
| main\migrations                                                                                                                         |          2 |        161 |          1 |          7 |        169 |
| main\templates                                                                                                                          |          9 |        394 |         28 |         40 |        462 |
| main\templates\main                                                                                                                     |          9 |        394 |         28 |         40 |        462 |
| static                                                                                                                                  |      2,459 |    113,642 |     15,728 |     18,798 |    148,168 |
| static (Files)                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| static\admin                                                                                                                            |        244 |     43,345 |      8,156 |      9,840 |     61,341 |
| static\admin\css                                                                                                                        |         31 |      8,196 |        198 |      1,939 |     10,333 |
| static\admin\css (Files)                                                                                                                |         25 |      7,310 |        198 |      1,813 |      9,321 |
| static\admin\css\vendor                                                                                                                 |          6 |        886 |          0 |        126 |      1,012 |
| static\admin\css\vendor\select2                                                                                                         |          6 |        886 |          0 |        126 |      1,012 |
| static\admin\img                                                                                                                        |         41 |        255 |          0 |         37 |        292 |
| static\admin\img (Files)                                                                                                                |         37 |        251 |          0 |         37 |        288 |
| static\admin\img\gis                                                                                                                    |          4 |          4 |          0 |          0 |          4 |
| static\admin\js                                                                                                                         |        172 |     34,894 |      7,958 |      7,864 |     50,716 |
| static\admin\js (Files)                                                                                                                 |         36 |      3,134 |        384 |        292 |      3,810 |
| static\admin\js\admin                                                                                                                   |          4 |      1,040 |        156 |        100 |      1,296 |
| static\admin\js\vendor                                                                                                                  |        132 |     30,720 |      7,418 |      7,472 |     45,610 |
| static\admin\js\vendor\jquery                                                                                                           |          4 |     13,828 |      3,926 |      4,184 |     21,938 |
| static\admin\js\vendor\select2                                                                                                          |        124 |     10,358 |        888 |      2,798 |     14,044 |
| static\admin\js\vendor\select2 (Files)                                                                                                  |          6 |     10,240 |        770 |      2,680 |     13,690 |
| static\admin\js\vendor\select2\i18n                                                                                                     |        118 |        118 |        118 |        118 |        354 |
| static\admin\js\vendor\xregexp                                                                                                          |          4 |      6,534 |      2,604 |        490 |      9,628 |
| static\ckeditor                                                                                                                         |      2,208 |     38,922 |      7,440 |      6,714 |     53,076 |
| static\ckeditor (Files)                                                                                                                 |          4 |        116 |         10 |         16 |        142 |
| static\ckeditor\ckeditor                                                                                                                |      2,176 |     28,166 |      5,878 |      4,606 |     38,650 |
| static\ckeditor\ckeditor (Files)                                                                                                        |         20 |      9,778 |        192 |      1,732 |     11,702 |
| static\ckeditor\ckeditor\adapters                                                                                                       |          2 |         12 |          8 |          0 |         20 |
| static\ckeditor\ckeditor\lang                                                                                                           |        140 |        140 |        560 |          0 |        700 |
| static\ckeditor\ckeditor\plugins                                                                                                        |      1,968 |     18,020 |      4,958 |      2,830 |     25,808 |
| static\ckeditor\ckeditor\plugins\a11yhelp                                                                                               |        130 |      1,010 |        520 |          0 |      1,530 |
